Number,Title,BodyLength,CreatedAt,ClosedAt,ReviewTimeHours,Additions,Deletions,ChangedFiles,Reviews,Comments,Participants
178,"Hide codeEditor textarea to prevent flash",82,09/03/2015 22:40:52,10/03/2015 05:52:03,7,186388888888889,1,1,1,0,0,2
184,"Gitter chat embed fix",54,10/03/2015 22:43:37,12/03/2015 05:33:39,30,83388888888889,1,0,1,0,5,3
188,"Next courseware flow",17,11/03/2015 15:06:28,12/03/2015 05:35:23,14,481944444444444,11,5,2,0,1,3
190,"Allow quotation marks",142,11/03/2015 23:24:17,12/03/2015 06:06:35,6,705,29,12,3,0,0,3
197,"Codemirror multiline indent fix",94,14/03/2015 05:10:52,14/03/2015 07:53:36,2,712222222222222,6,2,1,0,1,0
198,"Fixed bonfire selected tab bug",106,14/03/2015 07:39:50,14/03/2015 21:27:15,13,790277777777778,17,9,3,0,1,3
200,"Challenge point save fix.",542,14/03/2015 08:23:38,14/03/2015 20:25:33,12,031944444444445,249,11,2,0,1,1
201,"Remove bower_components from source and use bower.json",46,14/03/2015 08:33:58,18/03/2015 18:19:25,105,7575,72,384111,796,0,5,4
204,"Dev server crash fix",141,14/03/2015 23:19:40,18/03/2015 03:10:30,75,84722222222223,6,4,1,0,7,3
214,"Upvote fix",328,17/03/2015 07:24:26,17/03/2015 22:48:15,15,396944444444445,19,4,3,0,1,3
215,"Fix no user comment display",0,17/03/2015 08:46:49,17/03/2015 20:03:07,11,271666666666667,34,11,5,0,3,1
217,"Fix no user comment display",38,17/03/2015 20:05:28,17/03/2015 22:12:34,2,118333333333333,34,11,5,0,2,3
222,"fullUser fixes",122,18/03/2015 02:12:37,18/03/2015 03:16:40,1,0675,2,2,1,0,2,1
223,"Stories js var double output fix",159,18/03/2015 02:20:08,18/03/2015 03:27:40,1,1255555555555556,0,2,1,0,1,1
225,"App 'listens' before 'MongoStore' is ready fix",12,18/03/2015 03:19:50,18/03/2015 06:20:36,3,012777777777778,11,11,1,0,17,2
226,"fix email validation issue #212",0,18/03/2015 06:22:00,21/03/2015 07:40:03,73,30083333333333,3,1,1,0,0,3
236,"Reactify",96,19/03/2015 09:26:07,21/03/2015 07:55:44,46,493611111111115,9,22,7,0,1,2
256,"User will now get a point for news/stories interactions",116,22/03/2015 11:08:50,28/03/2015 13:12:18,146,05777777777777,1127,1021,8,0,5,3
262,"Bonfire MDN links - Issue #255",292,24/03/2015 05:34:06,29/03/2015 03:34:34,118,00777777777778,130,18,5,0,7,5
265,"Add production error handler",0,24/03/2015 15:12:04,25/03/2015 13:56:04,22,733333333333334,42,3,2,0,0,1
268,"Controller error handlers",4,26/03/2015 05:55:58,31/03/2015 20:46:58,134,85,53,42,5,0,17,3
271,"Stories reply and upvote redirect to signin when user isn't signed in.",116,28/03/2015 05:19:18,29/03/2015 21:27:43,40,140277777777776,13,3,4,0,1,2
272,"Bonfire mdn links: 3-4 flame",185,28/03/2015 17:12:24,29/03/2015 21:28:58,28,27611111111111,169,31,5,0,2,3
273,"Coursewares error handling (issue #261)",36,28/03/2015 18:03:03,29/03/2015 21:32:16,27,486944444444443,26,19,1,0,1,3
275,"Posts completed status when challenge 2 is opened for issue #274",151,28/03/2015 21:20:06,29/03/2015 21:34:13,24,235277777777778,14,0,1,0,1,2
276,"Ux improvements",50,29/03/2015 12:15:55,29/03/2015 21:57:43,9,696666666666667,3904,3055,54,0,1,3
278,"Fix some bugs, improver perf of show all bonfires/challenges and add buttons to challenge views",0,30/03/2015 00:11:05,30/03/2015 20:12:56,20,030833333333334,85,47,11,0,0,2
279,"Take @brndbr's styleguide to address #112",0,30/03/2015 00:30:40,30/03/2015 20:12:40,19,7,33,13,5,0,0,2
288,"Create Wiki controller to replace our static pages",0,30/03/2015 23:00:55,15/04/2015 08:03:19,369,04,566,803,29,0,2,2
290,"added 5 new bonfires",52,31/03/2015 03:34:53,12/04/2015 04:02:10,288,45472222222224,102,2,2,0,2,2
291,"On story submission create unique story URL if slug already exists",636,31/03/2015 04:16:01,31/03/2015 20:43:28,16,4575,42,33,1,0,5,1
294,"On story submission create unique story URL if slug already exists FIX",9,31/03/2015 21:36:27,22/04/2015 00:32:43,506,9377777777778,3,1,1,0,2,1
296,"having the text for showing streak should be fine. ",294,01/04/2015 03:57:02,15/04/2015 06:42:14,338,75333333333333,1,1,1,0,2,3
298,"Issue #277 Fix- coursewares chai-jquery test issue",707,06/04/2015 14:04:11,15/04/2015 06:43:38,208,6575,11,11,1,0,2,3
299,"New feature to allow users to easily pair with each other",341,07/04/2015 07:16:01,22/04/2015 02:27:44,355,1952777777778,2882,2524,28,0,6,4
303,"We're ready to move to slack from gitter thanks to @storbeck",0,09/04/2015 05:53:50,09/04/2015 17:50:06,11,937777777777777,91,8,8,0,0,1
310,"Update README.md with better contribution directions. Point to AirBnB st...",26,15/04/2015 07:07:19,19/04/2015 05:38:56,94,52694444444444,9,8,1,0,0,1
311,"Attempt to fix wording on seek and destroy bonfire issue #293",0,15/04/2015 07:59:33,22/04/2015 02:28:14,162,47805555555556,2,2,1,0,0,3
319,"Ux improvements",15,17/04/2015 04:54:33,17/04/2015 06:00:58,1,1069444444444445,1147,411,25,0,0,4
322,"new Pair Code feature PR to ux-improvements instead of master",266,17/04/2015 15:28:29,22/04/2015 02:06:55,106,64055555555555,2757,2425,21,0,5,3
328,"Added the option to edit a comment for up to 10 minutes - for issue #211",170,18/04/2015 06:56:13,20/04/2015 02:22:55,43,445,90,4,3,0,1,3
338,"Rewrite the Symmetric Difference Bonfire description",86,21/04/2015 20:03:18,22/04/2015 02:31:00,6,461666666666667,3,2,1,0,1,2
339,"Format and prettify bonfire solutions on portfolio page #332 FIX",132,22/04/2015 05:19:41,24/04/2015 03:23:18,46,06027777777778,242,2,34,0,1,1
350,"Fix for issue #349: Zipline Copy Typo",19,23/04/2015 21:14:06,23/04/2015 22:48:17,1,5697222222222222,1,1,1,0,1,2
351,"Fix for issue #342: 'You can contribute to our field guide here' Page No...",79,23/04/2015 21:32:07,23/04/2015 22:49:16,1,2858333333333334,1,1,1,0,1,2
354,"Update README.md",66,23/04/2015 22:54:40,24/04/2015 00:52:20,1,961111111111111,25,11,1,0,0,2
357,"Several UX fixes and a www redirect bug fix",0,24/04/2015 10:06:05,24/04/2015 23:15:21,13,154444444444444,207,260,21,0,0,2
359,"Site speed",793,24/04/2015 19:47:44,24/04/2015 23:02:16,3,2422222222222223,277,190,8,0,0,1
360,"slight tidy and example",184,24/04/2015 19:49:43,25/04/2015 03:58:32,8,146944444444445,2,2,1,0,2,4
368,"Fixes #352 - Camper News email notification",402,25/04/2015 14:15:46,26/04/2015 02:00:40,11,748333333333333,41,36,4,0,0,3
369,"Bug fixes to stories and fieldguides",23,25/04/2015 16:29:47,26/04/2015 01:14:43,8,748888888888889,60,18,8,0,0,2
373,"Usability improvements and courseware/field-guide copy improvements",0,27/04/2015 07:34:13,30/04/2015 20:18:39,84,74055555555556,97,742,9,0,0,1
